epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
105,8952.74,0.71032,0.77427,0.41526,0.00387,0.30975,0.91817,0.94898,0.97757,0.82639,0.92212,0.95306,0.97958,0.86375,0.67959,0.64364,0.34602,0.00515,0,0.0013136,0.0013136,0.0013136
106,9038.14,0.71698,0.75631,0.42385,0.00402,0.36138,0.9167,0.94898,0.97621,0.83404,0.9209,0.95039,0.97842,0.86876,0.65812,0.63172,0.32547,0.00493,0,0.001307,0.001307,0.001307
107,9123.64,0.71427,0.73782,0.44194,0.00395,0.40094,0.93702,0.91091,0.9717,0.8167,0.9391,0.91268,0.9741,0.8508,0.67435,0.63608,0.36196,0.00532,0,0.0013004,0.0013004,0.0013004
108,9206.42,0.70845,0.7509,0.43933,0.00383,0.33303,0.9138,0.95196,0.97752,0.83382,0.91576,0.954,0.97908,0.8691,0.66395,0.6213,0.33268,0.00502,0,0.0012938,0.0012938,0.0012938
109,9292.24,0.7235,0.7705,0.43418,0.00404,0.33395,0.92719,0.94082,0.97827,0.82911,0.93122,0.9449,0.98128,0.86321,0.67506,0.63546,0.33007,0.00513,0,0.0012872,0.0012872,0.0012872
110,9379.63,0.74182,0.75532,0.4218,0.00407,0.29732,0.93964,0.92449,0.97691,0.82476,0.93964,0.92449,0.97786,0.85059,0.68142,0.64963,0.34559,0.00541,0,0.0012806,0.0012806,0.0012806
111,9462.89,0.74441,0.78134,0.43393,0.00412,0.34085,0.92779,0.94694,0.97854,0.8309,0.92731,0.94694,0.97956,0.8693,0.66652,0.63696,0.32781,0.00507,0,0.001274,0.001274,0.001274
112,9547.81,0.71791,0.75212,0.42014,0.00404,0.35158,0.92655,0.95253,0.97824,0.8257,0.93251,0.95866,0.97952,0.86577,0.66622,0.61812,0.32126,0.0051,0,0.0012674,0.0012674,0.0012674
113,9631.46,0.71023,0.72465,0.42303,0.00397,0.34008,0.94102,0.9117,0.9765,0.81198,0.9415,0.91429,0.97699,0.86591,0.7105,0.61105,0.35471,0.00536,0,0.0012608,0.0012608,0.0012608
114,9716.59,0.71101,0.73601,0.41659,0.00399,0.32454,0.91374,0.95714,0.97598,0.826,0.91569,0.95918,0.97851,0.86118,0.6556,0.61038,0.36424,0.0049,0,0.0012542,0.0012542,0.0012542
